IRank   Geography                    Urban Area                              Estimate        Miles    Kilometers      Mile       Kilometer    (See Note)
1      Japan                        Tokyo-Yokohama                          37,750,000       3,300       8,547        11,400        4,400      C:B
2      Indonesia                    Jakarta                                 31,320,000       1,245       3,225        25,200        9,700      C:B
3      India                        Delhi, DL-UP-HR                         25,735,000         835       2,163        30,800       11,900      A:B
4      South Korea                  Seoul-Incheon                           23,575,000       1,000       2,590        23,600        9,100      C:B
5      Philippines                  Manila                                  22,930,000         630       1,632        36,400       14,100      C:B
6      India                        Mumbai, MH                              22,885,000         340        881         67,300       26,000      C:B
7      Pakistan                     Karachi                                 22,825,000         365        945         62,500       24,100      C:B
8      China                        Shanghai, SHG-JS-ZJ                     22,685,000       1,500       3,885        15,100        5,800      L:B
9      United States                New York, NY-NJ-CT                      20,685,000       4,495      11,642         4,500        1,800      N:N
10     Brazil                       Sao Paulo                               20,605,000       1,045       2,707        19,700        7,600      C:B
11     China                        Beijing, BJ-HEB                         20,390,000       1,520       3,937        13,400        5,200      L:B
12     Mexico                       Mexico City                             20,230,000         800       2,072        25,300        9,800      C:B
13     China                        Guangzhou-Foshan, GD                    18,760,000       1,475       3,820        12,700        4,900      L:B
14     Japan                        Osaka-Kobe-Kyoto                        16,985,000       1,240       3,212        13,700        5,300      C:B
15     Russia                       Moscow                                  16,570,000       2,050       5,310         8,100        3,100      C:B
16     Bangladesh                   Dhaka                                   16,235,000         142        368        114,300       44,100      C:B
17     Egypt                        Cairo                                   15,910,000         680       1,761        23,400        9,000      C:B
18     Thailand                     Bangkok                                 15,315,000       1,000       2,590        15,300        5,900      C:B
19     United States                Los Angeles, CA                         15,135,000       2,432       6,299         6,000        2,400      N:N
20     India                        Kolkata, WB                             14,810,000         465       1,204        31,800       12,300      A:B
21     Argentina                    Buenos Aires                            14,280,000       1,035       2,681        13,800        5,300      C:B
22     Iran                         Tehran                                  13,670,000         630       1,632        21,700        8,400      C:B
23     Turkey                       Istanbul                                13,520,000         525       1,360        25,800        9,900      C:B
24     Nigeria                      Lagos                                   12,830,000         550       1,425        23,300        9,000      W:B
25     China                        Shenzhen, GD                            12,240,000         675       1,748        18,100        7,000      L:B
26     Brazil                       Rio de Janeiro                          11,815,000         780       2,020        15,100        5,800      C:B
27     Congo (Dem. Rep.)            Kinshasa                                11,380,000         225        583         50,600       19,500      C:B
28     China                        Tianjin, TJ                             11,260,000         775       2,007        14,500        5,600      L:B
29     Peru                         Lima                                    10,950,000         355        919         30,800       11,900      C:B
30     France                       Paris                                   10,870,000       1,098       2,845         9,600        3,700      A:A
31     China                        Chengdu, SC                             10,680,000         650       1,684        16,400        6,300      L:B
32     Pakistan                     Lahore                                  10,355,000         305        790         34,000       13,100      F:B
33     United Kingdom               London                                  10,350,000         671       1,738        14,600        5,600      A:A
34     India                        Bangalore, KA                           10,165,000         450       1,166        22,600        8,700      A:B
35     Viet Nam                     Ho Chi Minh City                        10,075,000         600       1,554        16,800        6,500      C:B
