Standort Name;Adresse
Henkel AG & Co. KGaA;"Henkelstra§e 67
      40589
            Düsseldorf
      Germany"
Henkel Norden AB;"Gustavslundsvägen 151A
      Box 151 22
        167 15
             Bromma
      Sweden"
Henkel Norden AB;"Gustavslundsvägen 151A
      Box 151 22
        167 15
             Bromma
      Sverige"
Henkel Belgium N.V.;"Havenlaan 16
      1080
             Brussels
      Belgium"
Henkel Magyarország Kft.;"Dávid Ferenc utca 6.
      1113
             Budapest
      Hungary"
Henkel Nederland B.V.;"Brugwal 11
      3432 NZ
             Nieuwegein
      Netherlands"
Henkel Ibérica S.A.;"Bilbao, 72-84
      08005
            Barcelona
      Spain"
Henkel Srbija d.o.o.;"Bulevar Oslobo_enja 383
      11040
            Belgrad
      Serbia"
Henkel France S.A.S.;"161, Rue de Silly
      92100
            Boulogne-Billancourt
      France"
Henkel Ireland Operations and Research Ltd.;"Tallaght Business Park
      Whitestown
      Tallaght,
            Dublin
            24
      Ireland"
Henkel Ltd.;"Wood Lane End
      Hemel Hempstead,
              Herts
            HP2 4RQ
      United Kingdom"
Henkel Italia Srl;"Via C. Amoretti 78
      20157
            Milan
      Italy"
Henkel Italia Srl;"Via C. Amoretti 78
      20157
            Milan
      Italy"
OOO Henkel RUS;"Odoevskogo street, 117
      220018
            Minsk,
      Belarus"
Henkel Bautechnik;"Kolokolnikov pereulok, 11
      107045
            Moscow
      Russia"
Henkel Balti;"S›bra 56 B
      51013
            Tartu
      Estonia"
Henkel Norden Oy (Finnish lead office);"Mäenpäänkatu 3
      37630
            Valkeakoski
      Suomi"
Henkel Norden Oy;"€yritie 12 A
      01510
            Vantaa
      Finland"
Henkel Polska Sp. z o.o.;"ul. Domaniewska 41
      02-672
            Warsaw
      Poland"
Henkel & Cie. AG;"Gäsgerstrasse 81
      5015
             ErlinsbachSO
      Switzerland"
Henkel Ukraine TOW;"Saksaganskogo street 120
      Europa Plaza
      01032
             Kiev
      Ukraine"
Henkel Bautechnik;"Building 1A
      Krasnoarmeyskaya 1A
      Moscow region
        140413
             Kolomna
      Russia"
Henkel Srbija d.o.o.;"Stanoja Atanackovi_a bb
      37000
             Kru_evac
      Serbia"
Henkel Magyarország Kft.;"Vásártér 2.
      5516
             Käräsladány
      Hungary"
Henkel Nederland B.V.;"Haven Noordzijde 6
      9679 TC
             Scheemda
      Netherlands"
OOO Henkel RUS;"Zhukova st., 35B, office 8
      Samara Region
      445051
             Tolyatti
      Russia"
Henkel Latvia SIA;"Laisves Str. 77B
      06122
             Vilnius
      Lithuania"
Henkel Bautechnik Kazakhstan, LLP;"78, Masanchi street
      050012
            Almaty
      Kazakhstan"
Henkel Central Asia & Caucasus, LLP;"78, Masanchi street
      050012
            Almaty
      Kazakhstan"
Henkel Global Supply Chain B.V.;"Gustav Mahlerlaan 2970
      1081 LA
            Amsterdam
      Netherlands"
Henkel Hellas S.A.;"23, Kyprou Street
      183 46
            Moschato,Athens
      Greece"
Henkel Ibérica S.A.;"Avenida de la Técnica, 14-D
      Pol. Ind. El Comendador
      19200
            Azuqueca de Henares (Guadalajara)
      Spain"
Henkel Norden AB;"Industriparken 21 A
      2750
            Ballerup
      Denmark"
Henkel Ibérica S.A.;"Girona, 2 Bis
      08010
            Barcelona
      Espa–a"
Spotless Iberia S.L.;"Llacuna 22 4»
      08005
            Barcelona
      Spain"
Henkel Ibérica S.A.;"Building Eureka
      Campus de la UAB Bellaterra
      08193
            Bellaterra (Barcelona)
      Spain"
Henkel Polska Sp. z o.o.;"ul. Grazynskiego 141
      (Fiat-GM-Powertrain Hala 2)
      43-300
            Bielsko Biala
      Poland"
Henkel Ibérica Portugal, Unipessoal Lda.;"Rua D. Nuno çlvares Pereira, N¼ 4 e 4A
      Pol’gono das Actividades Ec—nomicas
      Parque Oriente - Blocos 1 e 2
        2695-167
            Bobadela
      Portugal"
Henkel AG & Co. KGaA;"Kirchheimer Str. 9
      73441
            Bopfingen
      Germany"
Henkel Slovensko, spol. s.r.o.;"Zahradnicka 91
      821 08
            Bratislava
      Slovakia"
Henkel Romania S.R.L.;"Str. Ionita Vornicul Nr. 1-7
      Sector 2
      20325
            Bukarest
      Romania"
Henkel Italia Srl;"Via Don Minzoni 1
      20090
            Caleppio di Settala (MI)
      Italy"
Henkel Italia Srl;"Via Don Minzoni 1
      20090
            Caleppio di Settala (MI)
      Italy"
Guaber S.r.l.;"Via Isonzo  67
      40033
            Casalecchio di Reno (Bologna)
      Italy"
Henkel Italia Srl;"Via Puccini 65/67
      20080
            Casarile (MI)
      Italy"
Henkel Italia Srl;"Via Puccini 65/67
      20080
            Casarile (MI)
      Italy"
Henkel Italia Srl;"Via Vigevano 27
      28065
            Cerano (NO)
      Italy"
Henkel Italia Srl;"Via Vigevano 27
      28065
            Cerano (NO)
      Italy"
