id,content,time,retweets,favorites
659467788000604160,"Bewegende Momente! @nestwaerme #RTLWirhelfenKindern @RTLde #spendenmarathon pic.twitter.com/laVHKy9WKM",13:32 - 28. Oct. 2015,451,1.253
659029902751084544,"Auf gehts Jungs! @FCBayern #packmas #MiaSanMia #WOBFCB #PartOfMario #fanmiles zum Spieltag: http://bit.ly/1LOvHph  pic.twitter.com/rEImRz4o7i",08:32 - 27. Oct. 2015,392,1.141
658718300231331841,"Congratulations @LewisHamilton  #F1",11:54 - 26. Oct. 2015,420,1.338
657809181165096960,"https://twitter.com/kr73/status/657567200245583872 …",23:41 - 23. Oct. 2015,192,886
657536549966487552,"Entspannter Grill- und Kochkurs mit Freunden bei Stefan #Ziemann Lecker war's  #weber #grillakademie #PartOfMario pic.twitter.com/soLiHWrjcQ",05:38 - 23. Oct. 2015,289,1.151
656550705134706688,"Safe!!!!! Great @Manuel_Neuer #NeuerTheWall  #ARSFCB",12:21 - 20. Oct. 2015,2.040,3.070
655786923403968512,"Willkommen!! https://twitter.com/philipplahm/status/655776958165323776 …",09:46 - 18. Oct. 2015,341,1.190
655784899950067712,"Thank you very much for your wishes! @beatsbydre #getwellsoon #PartOfMario pic.twitter.com/nO0qbioxvW",09:37 - 18. Oct. 2015,627,2.083
655444603018063872,"Sauber Jungs!  https://twitter.com/fcbayern/status/655403941195313152 …",11:05 - 17. Oct. 2015,320,1.146
655338101888413696,"Matchday! @FCBayern #SVWFCB - I am your fan today guys! Let's get 3 points. #PartOfMario pic.twitter.com/cDR4Q5w0WK",04:02 - 17. Oct. 2015,495,1.420
655123008399519745,"Great song! Have a nice evening!! #PartOfMario  pic.twitter.com/wk76I2m82H",13:47 - 16. Oct. 2015,381,1.225
654659617570426880,"Happy Birthday @MesutOzil1088  pic.twitter.com/H5a5NpC8XR",07:06 - 15. Oct. 2015,2.140,3.405
653849227588726784,"Good Morning! Have a great day!  Day  #faith #PartOfMario pic.twitter.com/JSE6Nt98bK",01:26 - 13. Oct. 2015,607,1.941
653280385980342272,"Auf geht's Jungs. Ihr packt das!! @DFB_Team #PartOfMario #EURO2016  pic.twitter.com/6bKa0qPxhP",11:45 - 11. Oct. 2015,1.040,2.781
652561320907264001,"Danke für Eure Genesungswünsche!! I WILL BE BACK  #PartOfMario #Faith pic.twitter.com/lv3ILqnKx6",12:08 - 9. Oct. 2015,1.387,3.727
652139776548581376,"@DFB_Team Come On!!!  https://twitter.com/fcbayern/status/651996969464918016 …",08:13 - 8. Oct. 2015,215,696
651841852522516480,"Abschlusstraining #IRLGER @DFB_Team - Mit einem Sieg morgen alles klar machen! #fanmiles http://bit.ly/1LRMjMQ   pic.twitter.com/Dc5Ud8qm17",12:29 - 7. Oct. 2015,415,1.452
651357732843425792,"Training @DFB_Team - Concentration on the upcoming matches...! #euroqualifiers #PartOfMario pic.twitter.com/XMOrjcTJkY",04:25 - 6. Oct. 2015,535,1.596
650781576247308288,"https://twitter.com/fcbayernen/status/650778706122801152 …",14:16 - 4. Oct. 2015,358,1.099
650745765137129473,"https://twitter.com/jb17official/status/650743720241930240 …",11:54 - 4. Oct. 2015,365,1.231
650744969930608640,"Oh yes! 5:1 #FCBBVB @Manuel_Neuer @FCBayern #MiaSanMia #PartOfMario pic.twitter.com/c6z114GzaA",11:51 - 4. Oct. 2015,1.940,4.474
650636109953810433,"COUNTDOWN #FCBBVB - special match - looking forward!! #PackMas @FCBayern @David_Alaba #kimmich #gaudino  pic.twitter.com/tqWdm2LEmx",04:38 - 4. Oct. 2015,592,1.532
650030965780271104,"Guten Appetit!  #PartOfMario pic.twitter.com/edTzaaBvbs",12:33 - 2. Oct. 2015,408,1.868
650017968269729792,"Jetzt wird gekocht #PartOfMario    - Was gibt's bei Euch? pic.twitter.com/3PYXCZSu1g",11:42 - 2. Oct. 2015,474,1.735
649604078461419521,"Enjoy your day!  #PartOfMario pic.twitter.com/zGVzKPi8i2",08:17 - 1. Oct. 2015,711,2.131
649546742325755904,"Heute frei, aber der Fokus für #FCBBVB ist hoch. Hier gibt's noch was für euch-Viel Erfolg. http://bit.ly/fcbbvbtickets2015 … pic.twitter.com/6xXZaZ7Fr6",04:29 - 1. Oct. 2015,349,1.185
649260248881045504,"#Oktoberfest @FCBayern  Seid ihr auch schon auf der Wiesn gewesen? Schönen Abend noch! #PartOfMario pic.twitter.com/bwg2gsCJt6",09:31 - 30. Sep. 2015,575,1.951
648968301088010240,"#FCBDIN 5:0 Yeeeees!!! @FCBayern @ChampionsLeague  6 Points/8:0 Goals - looks great! What do you think?!",14:11 - 29. Sep. 2015,697,1.637
