term,value
@FCBayern,96
@DFB_Team,33
@ChampionsLeague,16
@David_Alaba,12
@DHB_Teams,12
@Manuel_Neuer,10
@JB17Official,10
@bundesliga_de,8
@Badstuber,8
@MarioGoetze,7
@lewy_official,6
@esmuellert_,6
@BSchweinsteiger,6
@woodyinho,6
@beatsbydre,5
@Thiago6,5
@officialpes,5
@R13_official,4
@Sebastianrode20,4
@dante_bonfim,4
@ToniKroos,4
@Andre_Schuerrle,4
@nestwaerme,3
@douglascosta,3
@mannschaft,3
@Nike,3
@MesutOzil1088,2
@Audi,2
@XabiAlonso,2
@beckenbauer,2
@MustafiOfficial,2
@mertesacker,2
@DjokerNole,2
@LeoDiCaprio,2
@Guendogan8,2
@chrisbrown,2
@PReina25,2
@ekachunga15,2
@rihanna,2
@theweeknd,2
@nikefootball,2
@AustralianOpen,2
@BILD,2
@BILDhilft,2
@nikefussball,2
@RTLde,1
@LewisHamilton,1
@bayer04fussball,1
@Arsenal,1
@achtzehn99,1
@realmadrid,1
@Inter,1
@phunkeeduck,1
@Beats1,1
@selenagomez,1
@iamwill,1
@DFB_Frauen,1
@TussaudsLA,1
@officialpescm,1
@Blake_Leeper,1
@NikeTraining,1
@CJMcCollum,1
@PlanGermany,1
@GibraltarFA,1
@ReinholdYabo,1
@AllianzArena_,1
@Konami,1
@Socceroos,1
@KCANominees,1
@cebit,1
@pizarrinha,1
@JuanBernat,1
@AdCouncil,1
@sportschau,1
@katyperry,1
@Javi8martinez,1
@NICKIMINAJ,1
@Suits_USA,1
@Pharrell,1
@kanyewest,1
@justinbieber,1
@Tyga,1
@BigSean,1
@JLo,1
@SuperBowl,1
@uwegensheimer,1
@Abdi_Isco23,1
@NikeFootball,1
@SkySportNewsHD,1
@elliegoulding,1
@VfLBochum1848eV,1
@DKBHBL,1
@mimikraus1983,1
@dhb_teams,1
@VfL_Wolfsburg,1
@RafaelNadal,1
@_my_view_,1
@Cristiano,1
@rogerfederer,1
@NikeTennis,1
@sportstotal,1
@LukeShaw3,1
@IkerMuniain19,1
@EAbidalOfficial,1
@StKM_News,1
@beatsbydreDE,1
@FCShakhtar_eng,1
@FCAugsburg,1
@OneRepublic,1
@cristiano,1
@Officialpes,1
@Mario_Goetze19,1
@andreapetkovic,1
@MCFC,1
@PFC_CSKA_MOSCOW,1
@OfficialASRoma,1
@OfficialEl92,1
@S_Kagawa0317,1
@mbfussball,1
@Bastiard1512,1
@whiisper_,1
@HannahGo17,1
@AnniB_86,1
@MariePlatten,1
@Gothdad,1
@BeyzaG_BvB,1
